portfolio,factor_model,sample_start,sample_end,n_obs,alpha,alpha_t_stat,residual_volatility,r_squared,mean_excess_return,volatility,sharpe_like_annualized,beta_mkt_rf,t_mkt_rf,beta_smb,t_smb,beta_hml,t_hml,alpha_rank
SMALL HiBM,ff3,1926-07-31 23:59:59.999999,2025-11-30 23:59:59.999999,1193,0.0014084672654100174,1.9673409493146248,0.024430813433224428,0.9287135389057841,0.01339556999161777,0.09150280332454487,0.5071278032768923,0.9803465959682949,68.21571837397744,1.28656127109618,54.1565354851959,0.8886952643898031,43.362305124415016,1
BIG LoBM,ff3,1926-07-31 23:59:59.999999,2025-11-30 23:59:59.999999,1193,0.0009818704185730566,2.985431807907298,0.011223228921097464,0.955711047594195,0.0069416730930427495,0.053329819953149324,0.45090459698706775,1.0309023832594482,156.15016998014835,-0.1495699455211155,-13.705183075267563,-0.26927399467171903,-28.600525586127524,2
ME3 BM2,ff3,1926-07-31 23:59:59.999999,2025-11-30 23:59:59.999999,1193,0.0008608762830574542,1.7092423681713351,0.017187309392217444,0.9294640915256704,0.00899535205364627,0.06471467325152873,0.48151079209895664,1.017226218638449,100.61260406735352,0.5606923055678525,33.54864843501565,0.04742354299339002,3.2891488230573693,3
ME1 BM4,ff3,1926-07-31 23:59:59.999999,2025-11-30 23:59:59.999999,1193,0.0007034883391616066,1.0892248372270223,0.022039927838901886,0.9288833767484405,0.011256147527242247,0.0826465263069014,0.47179767343824397,0.9424326055724823,72.69137332763682,1.2330647524523484,57.53525501557409,0.5751768397230547,31.109185772250395,4
ME3 BM3,ff3,1926-07-31 23:59:59.999999,2025-11-30 23:59:59.999999,1193,0.0004293496290336851,0.8353781655284467,0.017538755474731514,0.9261318935933296,0.009108378876781224,0.06453128157077569,0.4889465885430916,0.9841468219062519,95.39022214818156,0.4520315028460033,26.505027339528578,0.32329457832692,21.97339033972088,5
ME4 BM1,ff3,1926-07-31 23:59:59.999999,2025-11-30 23:59:59.999999,1193,0.0004149653744496267,0.8635404613889155,0.01639834312434648,0.9296651078332636,0.007269857502095558,0.061832179707202395,0.4072883284089869,1.0731467043796983,111.25047289935759,0.3396094013275556,21.297962688195142,-0.32906394791885774,-23.920913282937732,6
ME3 BM4,ff3,1926-07-31 23:59:59.999999,2025-11-30 23:59:59.999999,1193,0.00036573964494692666,0.7035905071624105,0.017738744101660115,0.9343158606532163,0.00998175104777871,0.06921378694553199,0.4995796567774035,0.9942791365227792,95.28580269815627,0.47666206839016456,27.634146249242825,0.5623411638049128,37.78978569648142,7
ME2 BM5,ff3,1926-07-31 23:59:59.999999,2025-11-30 23:59:59.999999,1193,0.0003124081954515868,0.5637755730862208,0.01890980124739921,0.9523037697112564,0.012278278290025146,0.08658545359055926,0.4912280515006102,1.0658219368606152,95.81652795400143,0.9257365397424602,50.34528098379158,0.8840192546103633,55.727836449385144,8
ME2 BM3,ff3,1926-07-31 23:59:59.999999,2025-11-30 23:59:59.999999,1193,0.00022044428862256485,0.40678920169147775,0.018492696258594385,0.9341875735938378,0.009637846605196983,0.072085229425053,0.46315285749662083,0.9902174689234691,91.02759870264272,0.8311394221559185,46.220216210019466,0.3433216093807039,22.130861770610004,9
ME2 BM4,ff3,1926-07-31 23:59:59.999999,2025-11-30 23:59:59.999999,1193,0.00020498080346321418,0.42789519796268705,0.016347320580378397,0.9514991477209335,0.010301253143336127,0.07422870678531156,0.48073837194796515,0.9686510498876317,100.73108528127995,0.8292512860619818,52.16724494706883,0.5838821527756689,42.577096659033856,10
ME4 BM4,ff3,1926-07-31 23:59:59.999999,2025-11-30 23:59:59.999999,1193,0.00018868611703282595,0.3237929848634176,0.019885811251911176,0.9147373546265155,0.009662871751886001,0.06810263431880262,0.49151064385971327,1.034486593306195,88.435022932657,0.21444808490851713,11.090144028350476,0.5662617841328212,33.944652133438666,11
ME2 BM2,ff3,1926-07-31 23:59:59.999999,2025-11-30 23:59:59.999999,1193,0.00017139834727830712,0.30470710803489975,0.019195297417973472,0.9339302783065382,0.009320833193629505,0.07467815967129061,0.4323662160744774,1.0226115565617273,90.56462430111588,1.0052667697564317,53.85732863064474,0.11752203246104531,7.29830267448801,12
ME5 BM2,ff3,1926-07-31 23:59:59.999999,2025-11-30 23:59:59.999999,1193,-4.5391486647253046e-05,-0.1098280223480197,0.01410366697154745,0.9277118952276973,0.006498373009220453,0.05245641724596455,0.4291376654920123,0.9777888638983168,117.85710833497289,-0.19067786450903154,-13.903577502325074,0.025803481818290896,2.180939859041825,13
ME4 BM2,ff3,1926-07-31 23:59:59.999999,2025-11-30 23:59:59.999999,1193,-0.000116360910070661,-0.23499436664471893,0.016897422332293074,0.923003629571338,0.007772857502095557,0.06089551845037872,0.4421666636960437,1.028718204434559,103.4948418888735,0.24141705596355909,14.692842314021572,0.10626185881105021,7.496427964474928,14
ME4 BM3,ff3,1926-07-31 23:59:59.999999,2025-11-30 23:59:59.999999,1193,-0.00012569055252946397,-0.2343565724687754,0.018301905083414303,0.9152422117983325,0.008411497066219614,0.06286464843992236,0.4635082084434835,1.0097605203307147,93.79179055869193,0.20798926048102284,11.686997178790696,0.3477515098417598,22.65010125958025,15
ME5 BM3,ff3,1926-07-31 23:59:59.999999,2025-11-30 23:59:59.999999,1193,-0.00031831619997587464,-0.6316545842359029,0.017196889087296045,0.9045917550681769,0.007091185247275774,0.055674578374827546,0.4412172841785821,0.9602325605471218,94.92252389745076,-0.23116412017522656,-13.823845248549029,0.3308804046769717,22.936047551811082,16
ME3 BM5,ff3,1926-07-31 23:59:59.999999,2025-11-30 23:59:59.999999,1193,-0.0006293524533463137,-0.929010078750315,0.02311768303693874,0.923517889613608,0.011037944677284158,0.08359193402194266,0.4574192765338368,1.1127230021919912,81.82490316453672,0.5893493432424266,26.217231331997965,0.8646763716853413,44.58684156755303,17
ME3 BM1,ff3,1926-07-31 23:59:59.999999,2025-11-30 23:59:59.999999,1193,-0.001180649065118579,-2.0288430697453856,0.019858350547822954,0.9267695533043344,0.007187382229673092,0.07338331576987119,0.33928451078038085,1.1238691180534526,96.20891214071456,0.8108561174315043,41.99126440358138,-0.21840893470248213,-13.110662874571824,18
ME1 BM3,ff3,1926-07-31 23:59:59.999999,2025-11-30 23:59:59.999999,1193,-0.0012032903699126189,-1.3943650901266733,0.02944860596057715,0.8889408081605101,0.009811825649622798,0.0883664659455506,0.38463868297337733,1.0493270119369331,60.57436229817267,1.237646346528583,43.220536184410555,0.4926364506588733,19.94156433555203,19
BIG HiBM,ff3,1926-07-31 23:59:59.999999,2025-11-30 23:59:59.999999,1193,-0.0016537288254573424,-1.6471405825159309,0.03426134672513969,0.835438251632391,0.009696170159262362,0.08445784259650345,0.3976956748684676,1.1759600685811473,58.34865962658886,-0.14235027301157754,-4.27279642501832,0.9963882868197591,34.66742669336946,20
ME4 BM5,ff3,1926-07-31 23:59:59.999999,2025-11-30 23:59:59.999999,1193,-0.0017549652967889474,-2.3376739924788112,0.02561859976691595,0.910146410527153,0.010250796311818943,0.08546487728332192,0.4154899789126558,1.1851195702571844,78.64108920602565,0.3197567994664485,12.835793646255048,0.9466193011960145,44.0471069432692,21
ME2 BM1,ff3,1926-07-31 23:59:59.999999,2025-11-30 23:59:59.999999,1193,-0.002176897980685187,-3.1104701156856667,0.02388266816291379,0.9099281362573596,0.006455973176865045,0.07957712960282484,0.28103736866214307,1.0860005640793606,77.30186029394233,1.1516290073030366,49.589311450323144,-0.22902413813933487,-11.431305607630875,22
ME5 BM4,ff3,1926-07-31 23:59:59.999999,2025-11-30 23:59:59.999999,1193,-0.0024095272589464314,-4.543071291564244,0.018098938023695648,0.9229393539708582,0.006700820620284995,0.06519837478476882,0.35602610663387757,1.0315805447325623,96.89308618839193,-0.1796304211474678,-10.206694650870471,0.6554411425794229,43.169600377713735,23
ME1 BM2,ff3,1926-07-31 23:59:59.999999,2025-11-30 23:59:59.999999,1193,-0.003963137915535781,-3.3323644566295334,0.04058424707682391,0.8227539473249503,0.006691714165968146,0.09639826274129568,0.24046883409694608,1.0708113660894496,44.853694225872516,1.529717058915156,38.76251467547703,0.20552864686483807,6.036876510064568,24
SMALL LoBM,ff3,1926-07-31 23:59:59.999999,2025-11-30 23:59:59.999999,1193,-0.006749609404761472,-3.3343399844018755,0.06907796927586903,0.6630176752105428,0.0056850360435875946,0.11899699676160495,0.16549613079867548,1.2687695034411486,31.22381092412267,1.474918608666132,21.957698640915666,0.3501630412844966,6.042660103402324,25
