portfolio,mean_rank,median_rank,rank_volatility,mean_AE,AE_volatility,maximum_rank_improvement,maximum_rank_deterioration,same_quintile_probability,move_up_probability,move_down_probability,time_in_quintile_1,time_in_quintile_2,time_in_quintile_3,time_in_quintile_4,time_in_quintile_5
ME4 BM2,1.7444444444444445,2.0,0.4386165972131145,0.9998639996148911,2.8072507801709786e-09,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
ME4 BM1,2.788235294117647,3.0,0.4109836529902498,0.9998521382941127,2.5479502351968177e-09,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
BIG LoBM,4.333333333333333,5.0,0.9830015945213214,0.9998291183920825,9.171131017515727e-09,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
ME1 BM4,5.193181818181818,1.0,7.583796936005221,0.9997775185266916,0.0002624802028526201,19.0,2.0,0.9310344827586207,0.034482758620689655,0.034482758620689655,0.125,0.11363636363636363,0.0,0.0,0.7613636363636364
ME3 BM2,5.333333333333333,6.0,0.9830015945213214,0.9998173065180455,3.903798967160637e-09,0.0,1.0,0.9887640449438202,0.0,0.011235955056179775,0.0,0.0,0.0,0.6444444444444445,0.35555555555555557
ME3 BM5,6.333333333333333,7.0,0.9830015945213214,0.9998094748696916,4.061817554409021e-09,0.0,1.0,0.9887640449438202,0.0,0.011235955056179775,0.0,0.0,0.0,0.7444444444444445,0.25555555555555554
ME2 BM4,7.333333333333333,8.0,0.9830015945213214,0.9998084587588307,5.009126060556409e-09,0.0,1.0,0.9775280898876404,0.011235955056179775,0.011235955056179775,0.0,0.0,0.0,0.9555555555555556,0.044444444444444446
ME3 BM1,8.333333333333334,9.0,0.9830015945213214,0.9998064661674887,4.201302310685421e-09,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
ME3 BM4,8.753246753246753,4.0,8.406068992034148,0.9949561817922428,0.009856564365386265,21.0,4.0,0.9868421052631579,0.013157894736842105,0.0,0.24675324675324675,0.0,0.0,0.0,0.7532467532467533
ME4 BM3,9.359550561797754,10.0,0.9564041439783701,0.9997872175915465,6.901258481734559e-09,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
ME3 BM3,11.244444444444444,12.0,1.2021620140874758,0.9997789288156391,8.897354485439569e-09,0.0,1.0,0.9662921348314607,0.011235955056179775,0.02247191011235955,0.0,0.0,0.7888888888888889,0.2111111111111111,0.0
ME2 BM1,11.411111111111111,11.0,3.2667698523793325,0.9969321802254478,0.009928103442298367,14.0,4.0,0.9550561797752809,0.02247191011235955,0.02247191011235955,0.07777777777777778,0.0,0.6888888888888889,0.23333333333333334,0.0
ME4 BM4,12.244444444444444,13.0,1.2021620140874758,0.9997707985488603,7.0869285795884445e-09,0.0,1.0,0.9775280898876404,0.011235955056179775,0.011235955056179775,0.0,0.0,0.9333333333333333,0.06666666666666667,0.0
SMALL HiBM,13.292134831460674,14.0,1.1200877318623026,0.9997485726083951,1.3901171000924629e-08,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
ME2 BM5,15.10344827586207,15.0,1.9531398856690163,0.9975949043009176,0.006871973771655572,12.0,3.0,0.9418604651162791,0.03488372093023256,0.023255813953488372,0.09195402298850575,0.04597701149425287,0.8620689655172413,0.0,0.0
ME2 BM3,15.11111111111111,16.0,1.5098511307257438,0.9997131889578124,2.5399570651801188e-08,0.0,2.0,0.9887640449438202,0.0,0.011235955056179775,0.0,0.7444444444444445,0.25555555555555554,0.0,0.0
ME1 BM3,16.11111111111111,17.0,1.5098511307257438,0.9997060239230865,2.6357981319306527e-08,0.0,2.0,0.9438202247191011,0.02247191011235955,0.033707865168539325,0.0,0.8777777777777778,0.12222222222222222,0.0,0.0
ME5 BM2,17.376470588235293,18.0,1.0462685463820744,0.9996437273281447,3.9764224696641165e-08,0.0,1.0,0.9642857142857143,0.011904761904761904,0.023809523809523808,0.0,0.9647058823529412,0.03529411764705882,0.0,0.0
BIG HiBM,18.533333333333335,19.0,2.0011232800660914,0.9995940679936641,3.481144424245595e-08,0.0,2.0,0.9887640449438202,0.0,0.011235955056179775,0.0,0.9333333333333333,0.06666666666666667,0.0,0.0
ME4 BM5,19.533333333333335,20.0,2.0011232800660914,0.9995727603826612,3.1678748693559346e-08,0.0,2.0,0.9213483146067416,0.033707865168539325,0.0449438202247191,0.5666666666666667,0.4,0.03333333333333333,0.0,0.0
ME5 BM4,20.72222222222222,19.0,2.541055687359051,0.9947075051603714,0.0077236758253387185,6.0,5.0,0.9859154929577465,0.014084507042253521,0.0,0.4027777777777778,0.5972222222222222,0.0,0.0,0.0
ME5 BM3,21.022988505747126,22.0,1.380739703120513,0.9973775146514231,0.006677956573281245,3.0,5.0,0.9651162790697675,0.011627906976744186,0.023255813953488372,0.8850574712643678,0.11494252873563218,0.0,0.0,0.0
ME2 BM2,21.633333333333333,22.0,2.013717005881234,0.9992919057272704,3.290814820332443e-07,0.0,2.0,0.9887640449438202,0.0,0.011235955056179775,0.9,0.1,0.0,0.0,0.0
SMALL LoBM,22.730337078651687,23.0,1.8012877019196083,0.9992900136451929,2.1079023309958148e-07,0.0,2.0,0.9659090909090909,0.011363636363636364,0.022727272727272728,0.9213483146067416,0.07865168539325842,0.0,0.0,0.0
ME1 BM2,23.730337078651687,24.0,1.8012877019196083,0.9992028521512274,3.8224073701491285e-07,0.0,2.0,0.9886363636363636,0.0,0.011363636363636364,0.9438202247191011,0.056179775280898875,0.0,0.0,0.0
