date_t,date_t_plus_h,horizon_months,n_portfolios,spearman_rank_autocorrelation,pearson_ae_autocorrelation,average_absolute_rank_change,top_quintile_stay_probability,bottom_quintile_stay_probability
,,1,0,,,,,
,,3,0,,,,,
,,6,0,,,,,
1936-06-30 23:59:59.999999,1937-06-30 23:59:59.999999,12,18,0.9938080495356036,0.9929128204871382,1.7777777777777777,1.0,1.0
1937-06-30 23:59:59.999999,1938-06-30 23:59:59.999999,12,22,0.9966120835686054,0.9887156327444843,0.36363636363636365,1.0,1.0
1938-06-30 23:59:59.999999,1939-06-30 23:59:59.999999,12,23,0.9990118577075099,0.9986072424380539,0.08695652173913043,1.0,1.0
1939-06-30 23:59:59.999999,1940-06-30 23:59:59.999999,12,23,0.9980237154150198,0.9959805705829405,0.17391304347826086,1.0,1.0
1940-06-30 23:59:59.999999,1941-06-30 23:59:59.999999,12,23,1.0,0.9998390634838674,1.434782608695652,0.8,1.0
1941-06-30 23:59:59.999999,1942-06-30 23:59:59.999999,12,24,0.9991304347826085,0.9930876243804301,0.16666666666666666,1.0,1.0
1942-06-30 23:59:59.999999,1943-06-30 23:59:59.999999,12,23,0.9100790513833993,0.7258864531960775,1.2173913043478262,1.0,0.75
1943-06-30 23:59:59.999999,1944-06-30 23:59:59.999999,12,24,0.9991304347826085,0.8619431413352505,0.08333333333333333,1.0,0.8
1944-06-30 23:59:59.999999,1945-06-30 23:59:59.999999,12,22,1.0,0.9998056474360427,0.045454545454545456,1.0,1.0
1945-06-30 23:59:59.999999,1946-06-30 23:59:59.999999,12,22,1.0,0.9988840372202452,0.0,1.0,0.8
1946-06-30 23:59:59.999999,1947-06-30 23:59:59.999999,12,23,1.0,0.9765954117428968,0.4782608695652174,1.0,1.0
1947-06-30 23:59:59.999999,1948-06-30 23:59:59.999999,12,23,1.0,0.99998592962811,0.17391304347826086,1.0,1.0
1948-06-30 23:59:59.999999,1949-06-30 23:59:59.999999,12,24,0.9999999999999999,0.9999999630668844,0.0,1.0,1.0
1949-06-30 23:59:59.999999,1950-06-30 23:59:59.999999,12,24,0.9999999999999999,0.9999869670674868,0.0,1.0,1.0
1950-06-30 23:59:59.999999,1951-06-30 23:59:59.999999,12,24,0.9999999999999999,0.9998496158176815,0.0,1.0,1.0
1951-06-30 23:59:59.999999,1952-06-30 23:59:59.999999,12,24,0.9999999999999999,0.9999788793632497,0.0,1.0,1.0
1952-06-30 23:59:59.999999,1953-06-30 23:59:59.999999,12,24,0.9999999999999999,0.9999677276701847,0.0,1.0,1.0
1953-06-30 23:59:59.999999,1954-06-30 23:59:59.999999,12,24,0.9999999999999999,0.9999547240533948,0.0,1.0,1.0
1954-06-30 23:59:59.999999,1955-06-30 23:59:59.999999,12,24,0.9999999999999999,0.9999578556779333,0.041666666666666664,1.0,0.8
1955-06-30 23:59:59.999999,1956-06-30 23:59:59.999999,12,24,0.9999999999999999,0.9982296186637624,0.0,1.0,1.0
1956-06-30 23:59:59.999999,1957-06-30 23:59:59.999999,12,23,1.0,0.9999999755621558,0.0,1.0,1.0
1957-06-30 23:59:59.999999,1958-06-30 23:59:59.999999,12,23,1.0,0.9999999893932773,0.0,1.0,1.0
1958-06-30 23:59:59.999999,1959-06-30 23:59:59.999999,12,23,0.8122529644268776,0.7933767092444097,1.6521739130434783,0.8,0.8
1959-06-30 23:59:59.999999,1960-06-30 23:59:59.999999,12,24,0.9999999999999999,0.9999588993550489,0.0,1.0,1.0
1960-06-30 23:59:59.999999,1961-06-30 23:59:59.999999,12,24,0.9999999999999999,0.995935693597613,0.0,1.0,1.0
1961-06-30 23:59:59.999999,1962-06-30 23:59:59.999999,12,24,0.9999999999999999,0.996810893476337,0.0,1.0,1.0
1962-06-30 23:59:59.999999,1963-06-30 23:59:59.999999,12,23,1.0,0.9999999994421909,0.0,1.0,1.0
1963-06-30 23:59:59.999999,1964-06-30 23:59:59.999999,12,23,1.0,0.9999999994938742,0.0,1.0,1.0
1964-06-30 23:59:59.999999,1965-06-30 23:59:59.999999,12,23,1.0,0.9999999996871128,0.0,1.0,1.0
1965-06-30 23:59:59.999999,1966-06-30 23:59:59.999999,12,23,1.0,0.9999999994082803,0.0,1.0,1.0
1966-06-30 23:59:59.999999,1967-06-30 23:59:59.999999,12,23,1.0,0.9999999994767201,0.0,1.0,0.8
1967-06-30 23:59:59.999999,1968-06-30 23:59:59.999999,12,24,0.9999999999999999,0.99998245492778,0.875,0.8,1.0
1968-06-30 23:59:59.999999,1969-06-30 23:59:59.999999,12,25,1.0,0.9999831438218411,0.0,1.0,1.0
1969-06-30 23:59:59.999999,1970-06-30 23:59:59.999999,12,24,0.9999999999999999,0.9999999957760535,0.0,1.0,1.0
1970-06-30 23:59:59.999999,1971-06-30 23:59:59.999999,12,24,0.9999999999999999,0.9999999983669472,0.0,1.0,1.0
1971-06-30 23:59:59.999999,1972-06-30 23:59:59.999999,12,24,0.9999999999999999,0.9999999954996027,0.0,1.0,1.0
1972-06-30 23:59:59.999999,1973-06-30 23:59:59.999999,12,24,0.9999999999999999,0.9999999980458364,0.0,1.0,0.8
1973-06-30 23:59:59.999999,1974-06-30 23:59:59.999999,12,25,1.0,0.9997561887926145,0.0,1.0,1.0
1974-06-30 23:59:59.999999,1975-06-30 23:59:59.999999,12,25,1.0,0.9995266370430348,0.0,1.0,1.0
1975-06-30 23:59:59.999999,1976-06-30 23:59:59.999999,12,25,1.0,0.9968263921991535,0.0,1.0,1.0
1976-06-30 23:59:59.999999,1977-06-30 23:59:59.999999,12,25,1.0,0.9999999995322553,0.0,1.0,1.0
1977-06-30 23:59:59.999999,1978-06-30 23:59:59.999999,12,25,1.0,0.99942367615558,0.0,1.0,1.0
1978-06-30 23:59:59.999999,1979-06-30 23:59:59.999999,12,25,1.0,0.9995816245136383,0.0,1.0,1.0
1979-06-30 23:59:59.999999,1980-06-30 23:59:59.999999,12,25,1.0,0.9995085046499412,0.0,1.0,1.0
1980-06-30 23:59:59.999999,1981-06-30 23:59:59.999999,12,25,1.0,0.9998856859316655,0.0,1.0,1.0
1981-06-30 23:59:59.999999,1982-06-30 23:59:59.999999,12,24,0.9999999999999999,0.9999999966876676,0.0,1.0,1.0
1982-06-30 23:59:59.999999,1983-06-30 23:59:59.999999,12,24,0.9999999999999999,0.9999999973162184,0.25,1.0,1.0
1983-06-30 23:59:59.999999,1984-06-30 23:59:59.999999,12,25,1.0,0.9999999977416252,0.0,1.0,1.0
1984-06-30 23:59:59.999999,1985-06-30 23:59:59.999999,12,25,1.0,0.9999999964509723,0.0,1.0,1.0
1985-06-30 23:59:59.999999,1986-06-30 23:59:59.999999,12,25,1.0,0.9999999989867617,0.0,1.0,1.0
1986-06-30 23:59:59.999999,1987-06-30 23:59:59.999999,12,25,1.0,0.9999999996317033,0.0,1.0,1.0
1987-06-30 23:59:59.999999,1988-06-30 23:59:59.999999,12,25,1.0,0.9999999898943417,0.0,1.0,1.0
1988-06-30 23:59:59.999999,1989-06-30 23:59:59.999999,12,25,1.0,0.9999999998883278,0.0,1.0,1.0
1989-06-30 23:59:59.999999,1990-06-30 23:59:59.999999,12,25,1.0,0.9999999988799205,0.0,1.0,1.0
1990-06-30 23:59:59.999999,1991-06-30 23:59:59.999999,12,25,1.0,0.9999999978040801,0.0,1.0,1.0
1991-06-30 23:59:59.999999,1992-06-30 23:59:59.999999,12,25,1.0,0.9999999721651921,0.0,1.0,1.0
1992-06-30 23:59:59.999999,1993-06-30 23:59:59.999999,12,25,1.0,0.9999999961120688,0.0,1.0,1.0
1993-06-30 23:59:59.999999,1994-06-30 23:59:59.999999,12,25,1.0,0.9999999993110995,0.0,1.0,1.0
1994-06-30 23:59:59.999999,1995-06-30 23:59:59.999999,12,25,1.0,0.9999999993351529,0.0,1.0,1.0
1995-06-30 23:59:59.999999,1996-06-30 23:59:59.999999,12,25,1.0,0.9999999986957229,0.0,1.0,1.0
1996-06-30 23:59:59.999999,1997-06-30 23:59:59.999999,12,25,1.0,0.9999999998231303,0.0,1.0,1.0
1997-06-30 23:59:59.999999,1998-06-30 23:59:59.999999,12,25,1.0,0.9999999913678443,0.0,1.0,1.0
1998-06-30 23:59:59.999999,1999-06-30 23:59:59.999999,12,25,1.0,0.9999999956412204,0.0,1.0,1.0
1999-06-30 23:59:59.999999,2000-06-30 23:59:59.999999,12,25,1.0,0.9999999911747212,0.0,1.0,1.0
2000-06-30 23:59:59.999999,2001-06-30 23:59:59.999999,12,25,1.0,0.9999999801237641,0.0,1.0,1.0
2001-06-30 23:59:59.999999,2002-06-30 23:59:59.999999,12,25,1.0,0.9999999990525569,0.0,1.0,1.0
2002-06-30 23:59:59.999999,2003-06-30 23:59:59.999999,12,25,1.0,0.9999999986210013,0.0,1.0,1.0
2003-06-30 23:59:59.999999,2004-06-30 23:59:59.999999,12,25,1.0,0.9999999999401821,0.0,1.0,1.0
2004-06-30 23:59:59.999999,2005-06-30 23:59:59.999999,12,25,1.0,0.9999999999521323,0.0,1.0,1.0
2005-06-30 23:59:59.999999,2006-06-30 23:59:59.999999,12,25,1.0,0.9999999997091357,0.0,1.0,1.0
2006-06-30 23:59:59.999999,2007-06-30 23:59:59.999999,12,25,1.0,0.9999999996837738,0.0,1.0,1.0
2007-06-30 23:59:59.999999,2008-06-30 23:59:59.999999,12,25,1.0,0.9999999999351442,0.0,1.0,1.0
2008-06-30 23:59:59.999999,2009-06-30 23:59:59.999999,12,25,1.0,0.9999999987550122,0.0,1.0,1.0
2009-06-30 23:59:59.999999,2010-06-30 23:59:59.999999,12,25,1.0,0.9999999890437096,0.0,1.0,1.0
2010-06-30 23:59:59.999999,2011-06-30 23:59:59.999999,12,25,1.0,0.999999977072388,0.0,1.0,1.0
2011-06-30 23:59:59.999999,2012-06-30 23:59:59.999999,12,25,1.0,0.999999995612112,0.0,1.0,1.0
2012-06-30 23:59:59.999999,2013-06-30 23:59:59.999999,12,25,1.0,0.9999999945527042,0.0,1.0,1.0
2013-06-30 23:59:59.999999,2014-06-30 23:59:59.999999,12,25,1.0,0.9999999911014217,0.0,1.0,1.0
2014-06-30 23:59:59.999999,2015-06-30 23:59:59.999999,12,25,1.0,0.9999999979332821,0.0,1.0,1.0
2015-06-30 23:59:59.999999,2016-06-30 23:59:59.999999,12,25,1.0,0.999999999113989,0.0,1.0,1.0
2016-06-30 23:59:59.999999,2017-06-30 23:59:59.999999,12,25,1.0,0.9999999936067118,0.0,1.0,1.0
2017-06-30 23:59:59.999999,2018-06-30 23:59:59.999999,12,25,1.0,0.999999997740467,0.0,1.0,1.0
2018-06-30 23:59:59.999999,2019-06-30 23:59:59.999999,12,25,1.0,0.9999999868837668,0.0,1.0,1.0
2019-06-30 23:59:59.999999,2020-06-30 23:59:59.999999,12,25,1.0,0.9999999920656486,0.0,1.0,1.0
2020-06-30 23:59:59.999999,2021-06-30 23:59:59.999999,12,25,1.0,0.9999999991486271,0.0,1.0,1.0
2021-06-30 23:59:59.999999,2022-06-30 23:59:59.999999,12,25,1.0,0.9999999986132241,0.0,1.0,1.0
2022-06-30 23:59:59.999999,2023-06-30 23:59:59.999999,12,25,1.0,0.9999999946808085,0.0,1.0,1.0
2023-06-30 23:59:59.999999,2024-06-30 23:59:59.999999,12,25,1.0,0.9999999985672242,0.0,1.0,1.0
2024-06-30 23:59:59.999999,2025-06-30 23:59:59.999999,12,25,1.0,0.9999999989906312,0.0,1.0,1.0
